crop_name	crop_type	water_requirement_per_season	fertilizer_recommendation	pesticides_chemicals_and_safety_notes	climatic_conditions	sowing_and_harvesting_seasons	duration_days_to_maturity	yield_potential_per_acre	common_diseases_and_pests	best_crop_rotation_alternatives
Cotton	Cashcrop	600-900 mm/season	NPK 100-50-50 kg/ha; Organic: FYM + green manure; Micronutrients: B	IPM recommended for bollworm/jassids; follow label and use Bt varieties where adopted	Warm; 20-30°C	Sowing: Apr-May. Harvest: Oct-Nov	150-180	0.4-1 t lint/acre	Bollworm, Jassids, Whitefly	Legume rotation
Potato	Vegetable	400-600 mm/season	NPK 150-200-100 kg/ha (convert for acre); Organic: FYM+compost; Micronutrients: B, Zn	Late blight management, tuber treatment; use certified seed	Cool, 15-25°C	Sowing: Oct-Nov. Harvest: Feb-Apr	90-120	8-20 t/acre	Late blight, Scab, Nematodes	Cereal/legume rotation
Onion	Vegetable	400-600 mm/season	NPK 100-50-50 kg/ha; Organic: FYM; Micronutrients: B, Zn	Thrips and downy mildew management; follow IPM	Cool to moderate; 15-28°C	Sowing: Oct-Dec. Harvest: Mar-Jun	90-150	10-20 t/acre	Downy mildew, Thrips, Purple blotch	Vegetable rotation
Tomato	Vegetable	600-800 mm/season	NPK 100-50-50 kg/ha; Organic: compost; Micronutrients: B, Zn, Fe	Early blight, bacterial wilt — use certified seedlings and fungicides as per label; use biocontrols	Warm days 20-30°C	Sowing: Sep-Nov. Harvest: Year-round	90-120	6-12 t/acre	Late blight, Bacterial wilt, Fruit borer	Rotate with cereals/legumes
Brinjal (Eggplant)	Vegetable	500-700 mm/season	NPK 80-60-60 kg/ha; Organic: FYM; Micronutrients: B, Zn	Fruit borer control (pheromone/biopesticides); avoid broad-spectrum insecticides	Warm; 20-30°C	Sowing: Aug-Sep. Harvest: Dec-Mar	120-160	6-10 t/acre	Fruit borer, Phomopsis blight	Rotate with non-solanaceae
Cauliflower	Vegetable	600-800 mm/season	NPK 120-80-60 kg/ha; Organic compost; Micronutrients: B, Mo	Cabbage caterpillar and aphids control per label	Cool season; 10-20°C	Sowing: Sep-Oct. Harvest: Dec-Feb	90-120	6-10 t/acre	Clubroot, Black rot, Aphids	Rotate with legumes/cereals
Cabbage	Vegetable	500-700 mm/season	NPK 120-80-60 kg/ha; Organic: FYM; Micronutrients: B, Mo	Caterpillars and bacterial diseases management	Cool; 10-20°C	Sowing: Sep-Oct. Harvest: Dec-Feb	90-120	6-12 t/acre	Black rot, Aphids	Rotate with legumes
Sunflower	Oilseed	400-700 mm/season	NPK 60-30-30 kg/ha; Organic: FYM; Micronutrients: B, S	Sucking pests and head rot control; use bird protection where needed	Sunny, warm; 20-30°C	Sowing: Feb-Apr. Harvest: Jun-Aug	90-120	0.6-1.2 t/acre	Rust, Alternaria, Head rot	Cereal/legume rotation
Sesame (Til)	Oilseed	300-500 mm/season	NPK 20-40-20 kg/ha; Organic: FYM; Micronutrients: Zn, B	Minimal pesticides; manage leaf-eating insects	Warm and dry; 25-35°C	Sowing: Jun-Jul. Harvest: Sep-Oct	90-120	0.4-0.8 t/acre	Alternaria blight, Whitefly	Cereal rotation
Banana	Fruit	1200-1800 mm/season	High K: NPK 200-200-400 kg/ha (split); Organic: FYM+compost; Micronutrients: B, Zn	Nematode and bunchy top/BBTV management; follow quarantine and label	Tropical, warm; 20-35°C	Planting: Year-round; Harvest: 9-12 months	270-360	10-30 t/acre	Panama disease, Sigatoka, Nematodes	Intercrop with legumes early; rotate in plantation breaks
Mango	Fruit	600-1200 mm/season	NPK 200-100-200 kg/ha (orchard basis); Organic manure encouraged; Micronutrients: Zn, B, Fe	Anthracnose, fruit fly management (traps, baits); follow local advisory	Tropical-subtropical; 24-30°C	Flowering: Feb-Mar; Harvest: May-Jun	365-540	1-5 t/acre	Anthracnose, Bacterial black spot, Fruit fly	Legume cover crops in orchard; rotate orchard blocks
Guava	Fruit	800-1200 mm/season	NPK 150-100-100 kg/ha; Organic: FYM; Micronutrients: Zn, B	Fruit fly, wilt control; follow label	Tropical to subtropical; 20-30°C	Flowering: year-round; Harvest: multiple seasons	180-365	5-10 t/acre	Fruit fly, Wilt, Anthracnose	Orchard legumes
Citrus (Orange)	Fruit	800-1200 mm/season	NPK 200-100-100 kg/ha; Organic: FYM; Micronutrients: Zn, B, Fe	Citrus greening and psyllid management; follow quarantine rules	Subtropical; 15-30°C	Flowering: Feb-Mar. Harvest: Nov-Feb	365+	6-12 t/acre	Canker, Greening, Fruit fly	Cover crops/legumes
Grapes	Fruit	400-800 mm/season	NPK 100-150-200 kg/ha (varies); Organic mulch; Micronutrients: Fe, Zn, B	Fungal control (powdery/downy mildew); use IPM and canopy management	Warm days, cool nights; 15-30°C	Planting: winter; Harvest: summer/autumn	365+	2-6 t/acre	Powdery mildew, Downy mildew, Mealy bug	Legumes in off-season
Apple	Fruit	600-1000 mm/season	NPK 100-200-200 kg/ha (orchard basis); Organic compost; Micronutrients: B, Zn, Fe	Scab and codling moth management; follow IPM	Cool temperate; chill required	Flowering: spring; Harvest: late summer-autumn	365+	5-12 t/acre	Scab, Codling moth	Orchard cover crops
Garlic	Vegetable/Spice	400-600 mm/season	NPK 120-80-60 kg/ha; Organic: FYM; Micronutrients: B, Zn	Thrips and white rot management; use disease-free seed	Cool season; 10-20°C	Sowing: Oct-Nov. Harvest: Mar-May	180-210	5-8 t/acre	White rot, Thrips	Rotate with cereals/legumes
Chili (Green chili)	Spices/Vegetable	600-800 mm/season	NPK 100-50-50 kg/ha; Organic: FYM; Micronutrients: B	Capsicum borer and thrips; use IPM and neem-based sprays	Warm; 20-30°C	Sowing: Feb-Mar. Harvest: Jun-Oct	120-150	1-2 t/acre	Anthracnose, Fruit borer, Thrips	Rotate with legumes/cereals
Ginger	Spice	1200-2000 mm/season	NPK 100-200-200 kg/ha; Organic: compost; Micronutrients: Zn, B	Rhizome rot management; use clean seed rhizomes	Warm, humid; 20-30°C	Planting: Feb-Apr. Harvest: 8-10 months	240-300	5-10 t/acre	Rhizome rot, Nematodes	Rotate with cereals/legumes
Turmeric	Spice	1200-1500 mm/season	NPK 100-200-200 kg/ha; Organic: FYM; Micronutrients: Zn, B	Rhizome rot, leaf spot control; use clean planting material	Warm, humid	Planting: Jun-Jul. Harvest: 8-10 months	240-300	3-8 t/acre	Rhizome rot, Leaf spot	Rotate with legumes/cereals
Tobacco	Cashcrop	600-900 mm/season	NPK 150-80-200 kg/ha; Organic: FYM	Leaf spot and sap sucking pest control; adhere to regulations	Warm; 20-30°C	Sowing: Feb-Mar. Transplant Apr-May. Harvest: multiple pickings	90-150	1-2 t/acre (dry leaf)	Black shank, Aphids, Budworm	Rotate with legumes
Jute	Cashcrop	1200-1500 mm/season	NPK 50-60-50 kg/ha; Organic: FYM	Stem rot and jute hairy caterpillar control	Humid, riverine alluvial soils	Sowing: May-Jun. Harvest: Jul-Sep	90-120	3-5 t/acre (fiber)	Stem rot, Rust	Rice fallow rotation
Arecanut	Fruit/Cashcrop	1500-2500 mm/season	NPK 200-200-400 kg/ha orchard basis; Organic: FYM	Root grub and mite management	Humid tropical; 20-30°C	Planting: Year-round; Harvest: 3-4 years onward	1000+	2-6 t/acre (nut)	Root grub, Mites	Intercrop with pepper/banana early years
Cashew	Fruit/Cashcrop	800-1200 mm/season	NPK 100-100-200 kg/ha (orchard); Organic: FYM	Tea mosquito bug & stem borer management	Tropical; 20-30°C	Planting: Year-round; Harvest: 3-5 years after planting	1000+	0.5-1.5 t/acre (kernel)	Tea mosquito bug, Powdery mildew	Intercrop in early years with legumes
Pomegranate	Fruit	400-800 mm/season	NPK 100-50-100 kg/ha; Organic: FYM; Micronutrients: Zn, B	Fruit borer and bacterial blight management; use sanitary measures	Semi-arid to subtropical; 20-35°C	Planting: year-round; Harvest: seasonal	365+	5-10 t/acre	Fruit borer, Bacterial blight	Rotate with legumes in orchards
Bottle gourd	Vegetable	600-800 mm/season	NPK 80-60-60 kg/ha; Organic: FYM	Powdery mildew & fruit fly management	Warm; 20-30°C	Sowing: May-Jun. Harvest: Jul-Sep	60-90	8-12 t/acre	Powdery mildew, Fruit fly	Vegetable rotation with legumes
Pumpkin	Vegetable	600-800 mm/season	NPK 80-60-60 kg/ha; Organic: FYM	Vine borer and fruit fly management	Warm; 20-30°C	Sowing: Jun-Jul. Harvest: Sep-Oct	80-100	6-10 t/acre	Fruit fly, Powdery mildew	Rotate with cereals/legumes
Spinach	Vegetable	400-600 mm/season	NPK 60-40-40 kg/ha; Organic: compost	Leaf miner and downy mildew management	Cool to warm; 15-25°C	Sowing: Year-round in intervals; Harvest: 30-45 days after sowing	30-45	6-12 t/acre	Downy mildew, Leaf miner	Rotate with non-leafy vegetables
